"series_key","2020","2021","2022","2023","2024","2025"
"A,I_IUSNET,PC_IND,Y25_64,DK",87.73,87.6,87.15,93.68,92.09,91.36
"A,I_IUSNET,PC_IND,Y25_64,EE",68.55,71.41,69.7,72.03,73.08,77.28
"A,I_IUSNET,PC_IND,Y25_64,EL",64.18,66.94,69.9,72.68,73.9,78.73
"A,I_IUSNET,PC_IND,Y25_64,ES",66.5,66.46,64.51,66.16,66.49,71.7
"A,I_IUSNET,PC_IND,Y25_64,FI",79.47,78.75,79.84,84.19,82.84,85.94
"A,I_IUSNET,PC_IND,Y25_64,FR",NA,45.67,44.86,44.72,NA,72.91
"A,I_IUSNET,PC_IND,Y25_64,HR",61.59,65.49,65.46,66.93,67.38,67.09
"A,I_IUSNET,PC_IND,Y25_64,HU",78.05,81.57,83.17,85.83,84.52,81.79
"A,I_IUSNET,PC_IND,Y25_64,IE",66.06,73.73,79,73.56,75.51,83.03
"A,I_IUSNET,PC_IND,Y25_64,IT",50.82,52.78,55.78,55.6,58.68,58.9
"A,I_IUSNET,PC_IND,Y25_64,LT",65.18,68.78,71.72,72.6,75.29,74.66
"A,I_IUSNET,PC_IND,Y25_64,LU",60,62.74,63.09,64.3,69.51,69.61
"A,I_IUSNET,PC_IND,Y25_64,LV",70.83,73.74,75.68,77.67,78.27,82.81
"A,I_IUSNET,PC_IND,Y25_64,MT",76.97,79.92,80.15,89.42,80.44,85.16
"A,I_IUSNET,PC_IND,Y25_64,NL",72.78,75.95,76.26,78.57,82.25,82.99
"A,I_IUSNET,PC_IND,Y25_64,PL",57.26,60.34,64.4,67.18,66.28,68.26
"A,I_IUSNET,PC_IND,Y25_64,PT",66.44,69.79,70.98,72.83,74.86,75.46
"A,I_IUSNET,PC_IND,Y25_64,RO",68.91,73.4,72.98,80.33,78.67,83
"A,I_IUSNET,PC_IND,Y25_64,SE",76.27,75.3,74.76,77.22,75.91,77.52
"A,I_IUSNET,PC_IND,Y25_64,SI",70.93,67.19,67.39,66.57,68.92,68.6
"A,I_IUSNET,PC_IND,Y25_64,SK",67.55,68.06,60.8,60.1,60.55,64.55
"A,I_IUSNET,PC_IND,Y65_74,AT",20.6,20.24,23.33,23.18,26.12,28.5
"A,I_IUSNET,PC_IND,Y65_74,BE",49.08,27.53,37.79,37.2,39.53,38.76
"A,I_IUSNET,PC_IND,Y65_74,BG",11.77,15.86,21.74,22.4,24.75,34.33
"A,I_IUSNET,PC_IND,Y65_74,CY",32.84,33.74,32.21,42.68,54.34,57.7
"A,I_IUSNET,PC_IND,Y65_74,CZ",13.49,13.89,17.96,20.75,25.55,24.98
"A,I_IUSNET,PC_IND,Y65_74,DE",16.84,15.17,16.19,17.21,22.7,24.59
"A,I_IUSNET,PC_IND,Y65_74,DK",60.45,63.27,59.97,70.31,72.06,73.37
"A,I_IUSNET,PC_IND,Y65_74,EE",24.4,25.92,27.94,30.76,28.26,32.99
"A,I_IUSNET,PC_IND,Y65_74,EL",12.81,16.7,19.73,25.98,22.5,33.13
"A,I_IUSNET,PC_IND,Y65_74,ES",28.02,28.34,28.94,31.56,30.86,36.18
"A,I_IUSNET,PC_IND,Y65_74,FI",45.69,45.39,44.52,47.44,50.49,48.58
"A,I_IUSNET,PC_IND,Y65_74,FR",NA,17.27,16.77,17.07,NA,38.92
"A,I_IUSNET,PC_IND,Y65_74,HR",10.43,15.86,15.85,19.01,19.62,19.81
"A,I_IUSNET,PC_IND,Y65_74,HU",36.72,43.17,43.67,49.47,53.16,52.77
"A,I_IUSNET,PC_IND,Y65_74,IE",34.31,45.58,23.81,32.1,42.78,39.56
"A,I_IUSNET,PC_IND,Y65_74,IT",15.27,17.48,20.14,21.09,24.31,26.15
"A,I_IUSNET,PC_IND,Y65_74,LT",18.91,25.25,26.39,33.33,34.19,36.88
"A,I_IUSNET,PC_IND,Y65_74,LU",29.14,29.81,33.63,31.3,33.62,36.55
"A,I_IUSNET,PC_IND,Y65_74,LV",28.59,33.73,33.46,38.91,41.35,52.99
"A,I_IUSNET,PC_IND,Y65_74,MT",31.28,37.14,36.04,53.57,43.02,51.34
"A,I_IUSNET,PC_IND,Y65_74,NL",43,44,47.55,49.16,53.03,58.99
"A,I_IUSNET,PC_IND,Y65_74,PL",13.23,16.52,19.74,21.31,21.28,22.06
"A,I_IUSNET,PC_IND,Y65_74,PT",22.93,25.98,28.16,29.78,36.37,35.18
"A,I_IUSNET,PC_IND,Y65_74,RO",22.84,28.34,34.2,42.46,45.74,54.21
"A,I_IUSNET,PC_IND,Y65_74,SE",45.02,40.56,42.35,42.01,43.24,45.69
"A,I_IUSNET,PC_IND,Y65_74,SI",25.65,26.2,23.88,26.73,25.44,31.27
"A,I_IUSNET,PC_IND,Y65_74,SK",24.05,22.82,23.49,21.06,20.34,29.01
