"series_key","2020","2021","2022","2023","2024","2025"
"A,I_IUBK,PC_IND,Y65_74,FR",NA,52.48,45.14,55.66,56.38,63.31
"A,I_IUBK,PC_IND,Y65_74,HR",9.61,15.68,15.2,18.95,18.91,25.43
"A,I_IUBK,PC_IND,Y65_74,HU",23.09,27.24,29.83,34.45,35.89,40.02
"A,I_IUBK,PC_IND,Y65_74,IE",46.71,67.72,44.13,67.17,80.04,86.18
"A,I_IUBK,PC_IND,Y65_74,IT",18.66,23.98,25.85,29.23,33.95,36.7
"A,I_IUBK,PC_IND,Y65_74,LT",23.84,30.97,33.44,39.19,46.53,46.08
"A,I_IUBK,PC_IND,Y65_74,LU",61.27,74.01,60.01,65.46,63.12,63.77
"A,I_IUBK,PC_IND,Y65_74,LV",43.41,54.88,52.43,54.46,58.63,63.51
"A,I_IUBK,PC_IND,Y65_74,MT",17.58,21.4,26.02,34.13,41.76,41.46
"A,I_IUBK,PC_IND,Y65_74,NL",80.57,82.59,81.83,86.72,91.67,90.84
"A,I_IUBK,PC_IND,Y65_74,PL",16.27,18.54,21.8,25.41,22.87,24.33
"A,I_IUBK,PC_IND,Y65_74,PT",15.64,19.13,23.95,23.54,28.76,28.97
"A,I_IUBK,PC_IND,Y65_74,RO",2.07,1.84,4.28,4.51,6.2,8.32
"A,I_IUBK,PC_IND,Y65_74,SE",78.9,77.8,80.03,82.67,82.93,84.93
"A,I_IUBK,PC_IND,Y65_74,SI",20.7,26.96,23.44,27,28.91,35.82
"A,I_IUBK,PC_IND,Y65_74,SK",22.72,28.59,22.61,28.97,31.89,36.02
"A,I_IUCHAT1,PC_IND,Y16_24,AT",98.26,99.17,96.83,95.08,95.88,96.63
"A,I_IUCHAT1,PC_IND,Y16_24,BE",83.55,82.59,80.51,84.26,85.85,78.29
"A,I_IUCHAT1,PC_IND,Y16_24,BG",76.93,82.21,84.77,86.21,81.31,89.23
"A,I_IUCHAT1,PC_IND,Y16_24,CY",99.19,96.38,97.77,98.56,98.59,98.46
"A,I_IUCHAT1,PC_IND,Y16_24,CZ",95.12,97.22,98.04,98.85,97.81,98.2
"A,I_IUCHAT1,PC_IND,Y16_24,DE",94.95,77.62,72.76,77.64,90.24,91.25
"A,I_IUCHAT1,PC_IND,Y16_24,DK",97.61,97.56,97.21,96.78,97.19,98.17
"A,I_IUCHAT1,PC_IND,Y16_24,EE",94.36,91.2,94.16,97.25,93.1,93.62
"A,I_IUCHAT1,PC_IND,Y16_24,EL",85.3,88.06,91.89,92.9,90.16,92.94
"A,I_IUCHAT1,PC_IND,Y16_24,ES",98.48,97.52,98.18,98.32,98.03,99.25
"A,I_IUCHAT1,PC_IND,Y16_24,FI",94.06,94.22,92.03,93.65,89.14,97.36
"A,I_IUCHAT1,PC_IND,Y16_24,FR",NA,86.21,90.12,85.47,86.04,90.53
"A,I_IUCHAT1,PC_IND,Y16_24,HR",96.63,99.7,97.02,99.12,93.03,97.19
"A,I_IUCHAT1,PC_IND,Y16_24,HU",95.94,97.08,95.62,97.97,96.24,87.77
"A,I_IUCHAT1,PC_IND,Y16_24,IE",NA,NA,NA,79.18,97.51,93.69
"A,I_IUCHAT1,PC_IND,Y16_24,IT",88.75,90.83,92.1,93.67,93.01,94.73
"A,I_IUCHAT1,PC_IND,Y16_24,LT",90.3,95.01,93.58,91.71,93.47,95.65
"A,I_IUCHAT1,PC_IND,Y16_24,LU",86.04,84.78,78.17,76.98,79.87,77.6
"A,I_IUCHAT1,PC_IND,Y16_24,LV",91.07,93.45,93.89,94.9,92.18,92.01
"A,I_IUCHAT1,PC_IND,Y16_24,MT",99.37,98.95,100,95.85,97.21,97.96
"A,I_IUCHAT1,PC_IND,Y16_24,NL",95.85,94.68,93.12,99.57,99.68,99.69
"A,I_IUCHAT1,PC_IND,Y16_24,PL",85.89,88.75,90.84,91.44,94.09,96
"A,I_IUCHAT1,PC_IND,Y16_24,PT",96.62,96.42,97.27,97.24,97.12,96.94
"A,I_IUCHAT1,PC_IND,Y16_24,RO",65.45,73.86,76.09,80.26,77.61,86.17
"A,I_IUCHAT1,PC_IND,Y16_24,SE",83.56,87.08,85.67,85.04,88.87,86.12
"A,I_IUCHAT1,PC_IND,Y16_24,SI",90.56,85.74,85.6,87.34,93.25,93.4
"A,I_IUCHAT1,PC_IND,Y16_24,SK",89.34,85.47,80.52,85.71,83.83,86.69
"A,I_IUCHAT1,PC_IND,Y25_64,AT",81.86,87.86,90.41,91.25,90.32,90.88
"A,I_IUCHAT1,PC_IND,Y25_64,BE",67.65,66.39,72.32,69.76,77.05,72.97
"A,I_IUCHAT1,PC_IND,Y25_64,BG",53.34,62.33,66.88,71.39,71.58,76.48
"A,I_IUCHAT1,PC_IND,Y25_64,CY",87.82,89.65,87.26,92.26,95.2,94.51
"A,I_IUCHAT1,PC_IND,Y25_64,CZ",72.18,80.29,84.5,90.37,91.04,92.99
"A,I_IUCHAT1,PC_IND,Y25_64,DE",83.18,63.93,62.97,68.86,82.83,85.57
"A,I_IUCHAT1,PC_IND,Y25_64,DK",89.15,90.04,89.13,93.95,92.96,94.68
"A,I_IUCHAT1,PC_IND,Y25_64,EE",74.96,75.48,75.84,80.45,79.52,82.9
"A,I_IUCHAT1,PC_IND,Y25_64,EL",62.49,67.37,70.81,73.76,76.3,84.38
"A,I_IUCHAT1,PC_IND,Y25_64,ES",93.01,93.11,94.45,94.78,95.18,96.37
"A,I_IUCHAT1,PC_IND,Y25_64,FI",88.14,89.12,88.16,89.62,87.28,95.54
"A,I_IUCHAT1,PC_IND,Y25_64,FR",NA,65.41,64,68.17,70.86,77.69
"A,I_IUCHAT1,PC_IND,Y25_64,HR",79.51,83.19,84.29,83.56,84.22,86.73
"A,I_IUCHAT1,PC_IND,Y25_64,HU",77.67,83.31,83.57,87.83,85.97,78.07
"A,I_IUCHAT1,PC_IND,Y25_64,IE",76.7,86.51,88.02,86.06,87.59,91.35
"A,I_IUCHAT1,PC_IND,Y25_64,IT",75.61,79.62,82,84.06,86.08,87.1
"A,I_IUCHAT1,PC_IND,Y25_64,LT",68.99,74.56,76.72,79.98,81.72,82.1
"A,I_IUCHAT1,PC_IND,Y25_64,LU",74.99,73.66,67.33,70.05,77.35,77
