flight_date,marketing_airline,flight_number,origin,destination,destination_city,scheduled_departure,departure_delay_min,departure_delayed_15,arrival_delay_min,arrival_delayed_15,cancelled,cancellation_code,diverted,air_time_min,distance_miles
2025-07-01,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,0.00,0.00,0.00,0.00,0.00,,0.00,89.00,641.00
2025-07-02,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,0.00,0.00,0.00,0.00,0.00,,0.00,84.00,641.00
2025-07-03,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,0.00,0.00,0.00,0.00,0.00,,0.00,83.00,641.00
2025-07-04,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,0.00,0.00,0.00,0.00,0.00,,0.00,87.00,641.00
2025-07-05,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,1.00,0.00,0.00,0.00,0.00,,0.00,84.00,641.00
2025-07-06,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,0.00,0.00,0.00,0.00,0.00,,0.00,83.00,641.00
2025-07-07,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,66.00,1.00,81.00,1.00,0.00,,0.00,105.00,641.00
2025-07-08,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,0.00,0.00,0.00,0.00,0.00,,0.00,84.00,641.00
2025-07-09,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,0.00,0.00,0.00,0.00,0.00,,0.00,83.00,641.00
2025-07-10,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,0.00,0.00,0.00,0.00,0.00,,0.00,85.00,641.00
2025-07-11,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,39.00,1.00,35.00,1.00,0.00,,0.00,82.00,641.00
2025-07-12,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,0.00,0.00,0.00,0.00,0.00,,0.00,88.00,641.00
2025-07-13,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,0.00,0.00,0.00,0.00,0.00,,0.00,85.00,641.00
2025-07-14,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,0.00,0.00,0.00,0.00,0.00,,0.00,89.00,641.00
2025-07-15,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,0.00,0.00,0.00,0.00,0.00,,0.00,84.00,641.00
2025-07-16,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,31.00,1.00,35.00,1.00,0.00,,0.00,87.00,641.00
2025-07-17,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,0.00,0.00,0.00,0.00,0.00,,0.00,95.00,641.00
2025-07-18,AA,1090,DEN,DFW,"Dallas/Fort Worth, TX",0720,0.00,0.00,0.00,0.00,0.00,,0.00,86.00,641.00
