Economy,Code,Region,Income group,Random,Lending category
Mozambique,MOZ,SSF,LIC,408,IDA
Myanmar,MMR,EAS,LMC,433,IDA
Namibia,NAM,SSF,LMC,158,IBRD
Nauru,NRU,EAS,HIC,103,IBRD
Nepal,NPL,SAS,LMC,482,IDA
Netherlands,NLD,ECS,HIC,423,
New Caledonia,NCL,EAS,HIC,184,
New Zealand,NZL,EAS,HIC,305,
Nicaragua,NIC,LCN,LMC,62,IDA
Niger,NER,SSF,LIC,22,IDA
Nigeria,NGA,SSF,LMC,???,Blend
North Macedonia,MKD,ECS,UMC,450,IBRD
Northern Mariana Islands,MNP,EAS,HIC,343,
Norway,NOR,ECS,HIC,383,
Oman,OMN,MEA,HIC,292,
Pakistan,PAK,MEA,LMC,22,Blend
Palau,PLW,EAS,HIC,472,IBRD
Panama,PAN,LCN,HIC,443,IBRD
Papua New Guinea,PNG,EAS,LMC,252,Blend
Paraguay,PRY,LCN,UMC,7,IBRD
Peru,PER,LCN,UMC,314,IBRD
Philippines,PHL,EAS,LMC,395,IBRD
Poland,POL,ECS,HIC,469,IBRD
Portugal,PRT,ECS,HIC,476,
Puerto Rico (U.S.),PRI,LCN,HIC,440,what?
Qatar,QAT,MEA,HIC,66,
Romania,ROU,ECS,HIC,244,IBRD
Russian Federation,RUS,ECS,HIC,254,IBRD
Rwanda,RWA,SSF,LIC,408,IDA
Samoa,WSM,EAS,UMC,93,IDA
San Marino,SMR,ECS,HIC,449,
São Tomé and Príncipe,STP,SSF,LMC,261,IDA
Saudi Arabia,SAU,MEA,HIC,164,
Senegal,SEN,SSF,LMC,278,IDA
Serbia,SRB,ECS,UMC,425,IBRD
Seychelles,SYC,SSF,HIC,43,IBRD
Sierra Leone,SLE,SSF,LIC,330,IDA
Singapore,SGP,EAS,HIC,214,
Sint Maarten (Dutch part),SXM,LCN,HIC,55,not sure
Slovak Republic,SVK,ECS,HIC,485,
Slovenia,SVN,ECS,HIC,24,not sure
Solomon Islands,SLB,EAS,LMC,419,IDA
Somalia,SOM,SSF,LIC,unsure,IDA
South Africa,ZAF,SSF,UMC,353,IBRD
South Sudan,SSD,SSF,LIC,51,IDA
Spain,ESP,ECS,HIC,483,
Sri Lanka,LKA,SAS,LMC,229,IDA
St. Kitts and Nevis,KNA,LCN,HIC,364,IBRD
St. Lucia,LCA,LCN,UMC,54,Blend
St. Martin (French part),MAF,LCN,HIC,409,
St. Vincent and the Grenadines,VCT,LCN,UMC,59,Blend
Sudan,SDN,SSF,LIC,397,IDA
Suriname,SUR,LCN,UMC,216,Blend
Sweden,SWE,ECS,HIC,25,
Switzerland,CHE,ECS,HIC,473,
Syrian Arab Republic,SYR,MEA,LIC,358,IDA
"Taiwan, China",TWN,EAS,HIC,122,
Tajikistan,TJK,ECS,LMC,283,IDA
Tanzania,TZA,SSF,LMC,346,IDA
Thailand,THA,EAS,UMC,183,IBRD
Timor-Leste,TLS,EAS,LMC,209,Blend
Togo,TGO,SSF,LIC,50,IDA
Tonga,TON,EAS,UMC,282,IDA
Trinidad and Tobago,TTO,LCN,HIC,375,IBRD
Tunisia,TUN,MEA,LMC,57,IBRD
Türkiye,TUR,ECS,UMC,307,IBRD
Turkmenistan,TKM,ECS,UMC,182,IBRD
Turks and Caicos Islands,TCA,LCN,HIC,478,
Tuvalu,TUV,EAS,UMC,476,IDA
Uganda,UGA,SSF,LIC,212,IDA
Ukraine,UKR,ECS,UMC,204,IBRD
United Arab Emirates,ARE,MEA,HIC,85,
United Kingdom,GBR,ECS,HIC,350,???
United States,USA,NAC,HIC,414,
Uruguay,URY,LCN,HIC,349,IBRD
Uzbekistan,UZB,ECS,LMC,276,Blend
Vanuatu,VUT,EAS,LMC,316,IDA
"Venezuela, RB",VEN,LCN,NA,208,IBRD
Vietnam,VNM,EAS,LMC,431,IBRD
Virgin Islands (U.S.),VIR,LCN,HIC,329,
West Bank and Gaza,PSE,MEA,LMC,???,
"Yemen, Rep.",YEM,MEA,LIC,220,IDA
Zambia,ZMB,SSF,LMC,277,IDA
Zimbabwe,ZWE,SSF,LMC,64,Blend
