flight_date,marketing_airline,flight_number,origin,destination,destination_city,scheduled_departure,departure_delay_min,departure_delayed_15,arrival_delay_min,arrival_delayed_15,cancelled,cancellation_code,diverted,air_time_min,distance_miles
2025-10-01,DL,2294,DEN,JFK,"New York, NY",1205,0.00,0.00,0.00,0.00,0.00,,0.00,199.00,1626.00
2025-10-02,DL,2294,DEN,JFK,"New York, NY",1205,0.00,0.00,0.00,0.00,0.00,,0.00,199.00,1626.00
2025-10-03,DL,2294,DEN,JFK,"New York, NY",1205,0.00,0.00,0.00,0.00,0.00,,0.00,212.00,1626.00
2025-10-04,DL,2294,DEN,JFK,"New York, NY",1205,0.00,0.00,5.00,0.00,0.00,,0.00,204.00,1626.00
2025-10-05,DL,2294,DEN,JFK,"New York, NY",1205,48.00,1.00,20.00,1.00,0.00,,0.00,198.00,1626.00
2025-10-01,DL,840,DEN,ATL,"Atlanta, GA",1649,0.00,0.00,0.00,0.00,0.00,,0.00,143.00,1199.00
2025-10-02,DL,840,DEN,ATL,"Atlanta, GA",1649,76.00,1.00,66.00,1.00,0.00,,0.00,144.00,1199.00
2025-10-03,DL,840,DEN,ATL,"Atlanta, GA",1649,0.00,0.00,2.00,0.00,0.00,,0.00,144.00,1199.00
2025-10-04,DL,840,DEN,ATL,"Atlanta, GA",1649,7.00,0.00,0.00,0.00,0.00,,0.00,141.00,1199.00
2025-10-05,DL,840,DEN,ATL,"Atlanta, GA",1649,0.00,0.00,0.00,0.00,0.00,,0.00,146.00,1199.00
2025-10-06,DL,840,DEN,ATL,"Atlanta, GA",1647,0.00,0.00,0.00,0.00,0.00,,0.00,146.00,1199.00
2025-10-07,DL,840,DEN,ATL,"Atlanta, GA",1647,0.00,0.00,0.00,0.00,0.00,,0.00,145.00,1199.00
2025-10-08,DL,840,DEN,ATL,"Atlanta, GA",1647,0.00,0.00,0.00,0.00,0.00,,0.00,137.00,1199.00
2025-10-09,DL,840,DEN,ATL,"Atlanta, GA",1647,4.00,0.00,0.00,0.00,0.00,,0.00,141.00,1199.00
2025-10-10,DL,840,DEN,ATL,"Atlanta, GA",1647,0.00,0.00,0.00,0.00,0.00,,0.00,138.00,1199.00
2025-10-11,DL,840,DEN,ATL,"Atlanta, GA",1647,8.00,0.00,0.00,0.00,0.00,,0.00,145.00,1199.00
2025-10-12,DL,840,DEN,ATL,"Atlanta, GA",1647,36.00,1.00,16.00,1.00,0.00,,0.00,142.00,1199.00
2025-10-13,DL,840,DEN,ATL,"Atlanta, GA",1647,15.00,1.00,0.00,0.00,0.00,,0.00,140.00,1199.00
2025-10-14,DL,840,DEN,ATL,"Atlanta, GA",1647,0.00,0.00,0.00,0.00,0.00,,0.00,143.00,1199.00
2025-10-15,DL,840,DEN,ATL,"Atlanta, GA",1647,0.00,0.00,0.00,0.00,0.00,,0.00,145.00,1199.00
2025-10-16,DL,840,DEN,ATL,"Atlanta, GA",1647,3.00,0.00,0.00,0.00,0.00,,0.00,152.00,1199.00
2025-10-17,DL,840,DEN,ATL,"Atlanta, GA",1647,0.00,0.00,0.00,0.00,0.00,,0.00,141.00,1199.00
2025-10-18,DL,840,DEN,ATL,"Atlanta, GA",1647,153.00,1.00,164.00,1.00,0.00,,0.00,176.00,1199.00
2025-10-19,DL,840,DEN,ATL,"Atlanta, GA",1647,0.00,0.00,0.00,0.00,0.00,,0.00,141.00,1199.00
2025-10-20,DL,840,DEN,ATL,"Atlanta, GA",1647,2.00,0.00,0.00,0.00,0.00,,0.00,134.00,1199.00
2025-10-21,DL,840,DEN,ATL,"Atlanta, GA",1647,0.00,0.00,0.00,0.00,0.00,,0.00,132.00,1199.00
