flight_date,marketing_airline,flight_number,origin,destination,destination_city,scheduled_departure,departure_delay_min,departure_delayed_15,arrival_delay_min,arrival_delayed_15,cancelled,cancellation_code,diverted,air_time_min,distance_miles
2025-11-12,UA,4727,DEN,OKC,"Oklahoma City, OK",2030,0.00,0.00,0.00,0.00,0.00,,0.00,61.00,495.00
2025-11-12,UA,4732,DEN,MAF,"Midland/Odessa, TX",1912,0.00,0.00,0.00,0.00,0.00,,0.00,76.00,563.00
2025-11-12,UA,4734,DEN,COS,"Colorado Springs, CO",1115,,,,,1.00,C,0.00,,73.00
2025-11-12,UA,4745,DEN,COS,"Colorado Springs, CO",2305,0.00,0.00,0.00,0.00,0.00,,0.00,23.00,73.00
2025-11-12,UA,4757,DEN,BFL,"Bakersfield, CA",1915,0.00,0.00,0.00,0.00,0.00,,0.00,129.00,845.00
2025-11-12,UA,4759,DEN,FSD,"Sioux Falls, SD",0945,1.00,0.00,0.00,0.00,0.00,,0.00,71.00,483.00
2025-11-12,UA,4760,DEN,ATW,"Appleton, WI",1729,0.00,0.00,0.00,0.00,0.00,,0.00,116.00,883.00
2025-11-12,UA,4765,DEN,SBP,"San Luis Obispo, CA",1130,0.00,0.00,0.00,0.00,0.00,,0.00,144.00,931.00
2025-11-12,UA,4767,DEN,COU,"Columbia, MO",1747,0.00,0.00,0.00,0.00,0.00,,0.00,82.00,671.00
2025-11-12,UA,4770,DEN,GJT,"Grand Junction, CO",1545,0.00,0.00,0.00,0.00,0.00,,0.00,42.00,212.00
2025-11-12,UA,4773,DEN,GEG,"Spokane, WA",1339,,,,,1.00,C,0.00,,836.00
2025-11-12,UA,4774,DEN,TYS,"Knoxville, TN",1730,0.00,0.00,0.00,0.00,0.00,,0.00,135.00,1162.00
2025-11-12,UA,4788,DEN,IDA,"Idaho Falls, ID",0801,0.00,0.00,0.00,0.00,0.00,,0.00,75.00,458.00
2025-11-12,UA,4795,DEN,XWA,"Williston, ND",1436,,,,,1.00,C,0.00,,582.00
2025-11-12,UA,4797,DEN,CPR,"Casper, WY",1330,0.00,0.00,0.00,0.00,0.00,,0.00,40.00,230.00
2025-11-12,UA,4799,DEN,BIS,"Bismarck/Mandan, ND",2054,69.00,1.00,71.00,1.00,0.00,,0.00,70.00,516.00
2025-11-12,UA,4801,DEN,ABQ,"Albuquerque, NM",1541,0.00,0.00,0.00,0.00,0.00,,0.00,56.00,349.00
2025-11-12,UA,4806,DEN,BOI,"Boise, ID",0745,0.00,0.00,0.00,0.00,0.00,,0.00,100.00,649.00
2025-11-12,AA,4895,DEN,LAX,"Los Angeles, CA",1814,0.00,0.00,0.00,0.00,0.00,,0.00,125.00,862.00
2025-11-12,UA,5015,DEN,JLN,"Joplin, MO",1423,0.00,0.00,0.00,0.00,0.00,,0.00,75.00,582.00
2025-11-12,UA,5018,DEN,RIW,"Riverton/Lander, WY",2105,0.00,0.00,0.00,0.00,0.00,,0.00,52.00,296.00
2025-11-12,UA,5019,DEN,ATY,"Watertown, SD",1405,106.00,1.00,87.00,1.00,0.00,,0.00,75.00,519.00
2025-11-12,UA,5030,DEN,BTM,"Butte, MT",2005,0.00,0.00,0.00,0.00,0.00,,0.00,96.00,578.00
2025-11-12,UA,5031,DEN,LAR,"Laramie, WY",1610,0.00,0.00,0.00,0.00,0.00,,0.00,25.00,113.00
2025-11-12,UA,5034,DEN,FMN,"Farmington, NM",2020,0.00,0.00,0.00,0.00,0.00,,0.00,47.00,289.00
2025-11-12,UA,5035,DEN,LAR,"Laramie, WY",0805,0.00,0.00,0.00,0.00,0.00,,0.00,25.00,113.00
2025-11-12,UA,5041,DEN,COD,"Cody, WY",1115,0.00,0.00,0.00,0.00,0.00,,0.00,63.00,391.00
2025-11-12,UA,5042,DEN,HYS,"Hays, KS",1620,0.00,0.00,0.00,0.00,0.00,,0.00,43.00,298.00
2025-11-12,UA,5050,DEN,PRC,"Prescott, AZ",2030,0.00,0.00,0.00,0.00,0.00,,0.00,84.00,558.00
2025-11-12,UA,5052,DEN,HYS,"Hays, KS",2105,0.00,0.00,0.00,0.00,0.00,,0.00,42.00,298.00
2025-11-12,UA,5053,DEN,DVL,"Devils Lake, ND",1345,1.00,0.00,0.00,0.00,0.00,,0.00,100.00,638.00
2025-11-12,UA,5054,DEN,SGU,"St. George, UT",0815,0.00,0.00,0.00,0.00,0.00,,0.00,80.00,517.00
2025-11-12,UA,5055,DEN,GCC,"Gillette, WY",1214,0.00,0.00,0.00,0.00,0.00,,0.00,55.00,313.00
2025-11-12,UA,5059,DEN,EAR,"Kearney, NE",2045,0.00,0.00,0.00,0.00,0.00,,0.00,42.00,305.00
2025-11-12,UA,5065,DEN,DDC,"Dodge City, KS",1620,0.00,0.00,0.00,0.00,0.00,,0.00,49.00,292.00
2025-11-12,UA,5074,DEN,BFF,"Scottsbluff, NE",1625,0.00,0.00,0.00,0.00,0.00,,0.00,31.00,150.00
2025-11-12,UA,5076,DEN,PRC,"Prescott, AZ",0820,0.00,0.00,0.00,0.00,0.00,,0.00,83.00,558.00
2025-11-12,UA,5077,DEN,RIW,"Riverton/Lander, WY",1218,0.00,0.00,0.00,0.00,0.00,,0.00,50.00,296.00
2025-11-12,UA,5079,DEN,SHR,"Sheridan, WY",1210,0.00,0.00,0.00,0.00,0.00,,0.00,55.00,359.00
2025-11-12,UA,5080,DEN,JMS,"Jamestown, ND",0750,0.00,0.00,0.00,0.00,0.00,,0.00,89.00,573.00
2025-11-12,UA,5081,DEN,JMS,"Jamestown, ND",1410,0.00,0.00,0.00,0.00,0.00,,0.00,83.00,573.00
2025-11-12,UA,5083,DEN,CYS,"Cheyenne, WY",2104,0.00,0.00,0.00,0.00,0.00,,0.00,20.00,90.00
2025-11-12,UA,5085,DEN,GCC,"Gillette, WY",2035,0.00,0.00,0.00,0.00,0.00,,0.00,49.00,313.00
2025-11-12,UA,5086,DEN,RKS,"Rock Springs, WY",2049,0.00,0.00,0.00,0.00,0.00,,0.00,41.00,260.00
2025-11-12,UA,5090,DEN,SHR,"Sheridan, WY",2104,0.00,0.00,0.00,0.00,0.00,,0.00,54.00,359.00
2025-11-12,UA,5097,DEN,DIK,"Dickinson, ND",2040,1.00,0.00,0.00,0.00,0.00,,0.00,71.00,488.00
2025-11-12,UA,5098,DEN,DIK,"Dickinson, ND",1423,0.00,0.00,0.00,0.00,0.00,,0.00,71.00,488.00
2025-11-12,UA,5101,DEN,SGU,"St. George, UT",2105,0.00,0.00,0.00,0.00,0.00,,0.00,82.00,517.00
2025-11-12,UA,5102,DEN,DVL,"Devils Lake, ND",0745,0.00,0.00,0.00,0.00,0.00,,0.00,91.00,638.00
2025-11-12,UA,5104,DEN,SUX,"Sioux City, IA",1535,0.00,0.00,0.00,0.00,0.00,,0.00,64.00,466.00
2025-11-12,UA,5107,DEN,SLN,"Salina, KS",2021,0.00,0.00,0.00,0.00,0.00,,0.00,54.00,383.00
2025-11-12,UA,5111,DEN,LBL,"Liberal, KS",0755,0.00,0.00,0.00,0.00,0.00,,0.00,42.00,280.00
2025-11-12,UA,5113,DEN,SGU,"St. George, UT",1115,0.00,0.00,0.00,0.00,0.00,,0.00,83.00,517.00
2025-11-12,UA,5114,DEN,LBL,"Liberal, KS",1620,0.00,0.00,0.00,0.00,0.00,,0.00,44.00,280.00
2025-11-12,UA,5115,DEN,DDC,"Dodge City, KS",0746,0.00,0.00,0.00,0.00,0.00,,0.00,43.00,292.00
2025-11-12,UA,5116,DEN,RKS,"Rock Springs, WY",1210,0.00,0.00,0.00,0.00,0.00,,0.00,43.00,260.00
2025-11-12,UA,5132,DEN,COD,"Cody, WY",2045,0.00,0.00,0.00,0.00,0.00,,0.00,75.00,391.00
2025-11-12,UA,5133,DEN,LBF,"North Platte, NE",0755,0.00,0.00,0.00,0.00,0.00,,0.00,39.00,227.00
2025-11-12,UA,5136,DEN,PIR,"Pierre, SD",2034,0.00,0.00,0.00,0.00,0.00,,0.00,57.00,385.00
2025-11-12,UA,5141,DEN,CYS,"Cheyenne, WY",1230,0.00,0.00,0.00,0.00,0.00,,0.00,21.00,90.00
2025-11-12,UA,5211,DEN,PNS,"Pensacola, FL",1000,0.00,0.00,0.00,0.00,0.00,,0.00,141.00,1179.00
2025-11-12,UA,5212,DEN,FAT,"Fresno, CA",1130,0.00,0.00,0.00,0.00,0.00,,0.00,132.00,844.00
2025-11-12,UA,5213,DEN,DSM,"Des Moines, IA",0945,0.00,0.00,0.00,0.00,0.00,,0.00,77.00,589.00
2025-11-12,UA,5219,DEN,RAP,"Rapid City, SD",1120,0.00,0.00,0.00,0.00,0.00,,0.00,52.00,301.00
2025-11-12,UA,5222,DEN,MOT,"Minot, ND",2055,0.00,0.00,0.00,0.00,0.00,,0.00,86.00,604.00
2025-11-12,UA,5224,DEN,DRO,"Durango, CO",1325,0.00,0.00,0.00,0.00,0.00,,0.00,45.00,251.00
2025-11-12,UA,5226,DEN,CPR,"Casper, WY",2045,0.00,0.00,0.00,0.00,0.00,,0.00,40.00,230.00
2025-11-12,UA,5233,DEN,AMA,"Amarillo, TX",1439,,,,,1.00,C,0.00,,359.00
2025-11-12,UA,5240,DEN,GJT,"Grand Junction, CO",2045,0.00,0.00,0.00,0.00,0.00,,0.00,37.00,212.00
2025-11-12,UA,5246,DEN,COS,"Colorado Springs, CO",0752,0.00,0.00,0.00,0.00,0.00,,0.00,22.00,73.00
2025-11-12,UA,5247,DEN,MFR,"Medford, OR",1120,0.00,0.00,0.00,0.00,0.00,,0.00,148.00,964.00
2025-11-12,UA,5250,DEN,HDN,"Hayden, CO",1915,0.00,0.00,0.00,0.00,0.00,,0.00,41.00,141.00
2025-11-12,UA,5257,DEN,BIL,"Billings, MT",2105,0.00,0.00,0.00,0.00,0.00,,0.00,67.00,455.00
2025-11-12,UA,5261,DEN,XWA,"Williston, ND",2047,0.00,0.00,0.00,0.00,0.00,,0.00,78.00,582.00
2025-11-12,UA,5263,DEN,IDA,"Idaho Falls, ID",1915,0.00,0.00,0.00,0.00,0.00,,0.00,77.00,458.00
2025-11-12,UA,5265,DEN,RAP,"Rapid City, SD",1540,0.00,0.00,0.00,0.00,0.00,,0.00,50.00,301.00
2025-11-12,UA,5267,DEN,XNA,"Fayetteville, AR",0940,0.00,0.00,0.00,0.00,0.00,,0.00,77.00,616.00
2025-11-12,UA,5269,DEN,MSN,"Madison, WI",1340,0.00,0.00,0.00,0.00,0.00,,0.00,115.00,826.00
2025-11-12,UA,5270,DEN,MAF,"Midland/Odessa, TX",1332,0.00,0.00,0.00,0.00,0.00,,0.00,75.00,563.00
2025-11-12,UA,5282,DEN,SLC,"Salt Lake City, UT",1540,0.00,0.00,0.00,0.00,0.00,,0.00,65.00,391.00
2025-11-12,UA,5294,DEN,CPR,"Casper, WY",1541,0.00,0.00,0.00,0.00,0.00,,0.00,41.00,230.00
2025-11-12,UA,5298,DEN,PSC,"Pasco/Kennewick/Richland, WA",1135,0.00,0.00,0.00,0.00,0.00,,0.00,124.00,853.00
2025-11-12,UA,5303,DEN,RAP,"Rapid City, SD",2037,0.00,0.00,0.00,0.00,0.00,,0.00,43.00,301.00
2025-11-12,UA,5304,DEN,SLC,"Salt Lake City, UT",1331,0.00,0.00,0.00,0.00,0.00,,0.00,66.00,391.00
2025-11-12,UA,5306,DEN,COS,"Colorado Springs, CO",0955,,,,,1.00,C,0.00,,73.00
2025-11-12,UA,5308,DEN,COS,"Colorado Springs, CO",1647,,,,,1.00,C,0.00,,73.00
2025-11-12,UA,5310,DEN,SAF,"Santa Fe, NM",1120,0.00,0.00,0.00,0.00,0.00,,0.00,56.00,303.00
2025-11-12,UA,5311,DEN,TUL,"Tulsa, OK",1340,,,,,1.00,C,0.00,,541.00
2025-11-12,UA,5315,DEN,TUL,"Tulsa, OK",0950,0.00,0.00,0.00,0.00,0.00,,0.00,71.00,541.00
2025-11-12,UA,5324,DEN,OKC,"Oklahoma City, OK",1002,0.00,0.00,0.00,0.00,0.00,,0.00,72.00,495.00
2025-11-12,UA,5326,DEN,PSP,"Palm Springs, CA",0746,0.00,0.00,0.00,0.00,0.00,,0.00,123.00,776.00
2025-11-12,UA,5333,DEN,MAF,"Midland/Odessa, TX",0954,4.00,0.00,0.00,0.00,0.00,,0.00,75.00,563.00
2025-11-12,UA,5335,DEN,MSP,"Minneapolis, MN",2033,0.00,0.00,0.00,0.00,0.00,,0.00,91.00,680.00
2025-11-12,UA,5339,DEN,BIL,"Billings, MT",0800,0.00,0.00,0.00,0.00,0.00,,0.00,69.00,455.00
2025-11-12,UA,5343,DEN,GUC,"Gunnison, CO",1130,0.00,0.00,0.00,0.00,0.00,,0.00,32.00,152.00
2025-11-12,UA,5356,DEN,HSV,"Huntsville, AL",1750,0.00,0.00,0.00,0.00,0.00,,0.00,122.00,1048.00
2025-11-12,UA,5357,DEN,MOT,"Minot, ND",1442,,,,,1.00,C,0.00,,604.00
2025-11-12,UA,5374,DEN,ICT,"Wichita, KS",2040,4.00,0.00,0.00,0.00,0.00,,0.00,57.00,420.00
2025-11-12,UA,5377,DEN,GUC,"Gunnison, CO",1915,0.00,0.00,0.00,0.00,0.00,,0.00,30.00,152.00
2025-11-12,UA,5378,DEN,FSD,"Sioux Falls, SD",1335,,,,,1.00,C,0.00,,483.00
2025-11-12,UA,5388,DEN,HLN,"Helena, MT",1120,,,,,1.00,C,0.00,,594.00
2025-11-12,UA,5389,DEN,DSM,"Des Moines, IA",2051,0.00,0.00,0.00,0.00,0.00,,0.00,75.00,589.00
2025-11-12,UA,5399,DEN,TVC,"Traverse City, MI",0950,0.00,0.00,0.00,0.00,0.00,,0.00,132.00,1032.00
2025-11-12,UA,5412,DEN,HSV,"Huntsville, AL",1010,0.00,0.00,0.00,0.00,0.00,,0.00,123.00,1048.00
2025-11-12,UA,5413,DEN,MRY,"Monterey, CA",1905,0.00,0.00,0.00,0.00,0.00,,0.00,168.00,959.00
2025-11-12,UA,5421,DEN,LBB,"Lubbock, TX",1350,0.00,0.00,0.00,0.00,0.00,,0.00,60.00,456.00
2025-11-12,UA,5428,DEN,LBB,"Lubbock, TX",1905,21.00,1.00,11.00,0.00,0.00,,0.00,61.00,456.00
2025-11-12,UA,5438,DEN,MRY,"Monterey, CA",1131,86.00,1.00,78.00,1.00,0.00,,0.00,143.00,959.00
2025-11-12,UA,5445,DEN,GTF,"Great Falls, MT",2030,54.00,1.00,40.00,1.00,0.00,,0.00,92.00,623.00
2025-11-12,UA,5453,DEN,SLC,"Salt Lake City, UT",0802,0.00,0.00,1.00,0.00,0.00,,0.00,68.00,391.00
2025-11-12,UA,5454,DEN,ICT,"Wichita, KS",1349,0.00,0.00,0.00,0.00,0.00,,0.00,56.00,420.00
2025-11-12,UA,5461,DEN,XWA,"Williston, ND",1120,0.00,0.00,0.00,0.00,0.00,,0.00,87.00,582.00
2025-11-12,UA,5469,DEN,PSP,"Palm Springs, CA",1555,0.00,0.00,0.00,0.00,0.00,,0.00,115.00,776.00
2025-11-12,UA,5481,DEN,SGF,"Springfield, MO",0950,0.00,0.00,0.00,0.00,0.00,,0.00,84.00,637.00
2025-11-12,UA,5487,DEN,ABQ,"Albuquerque, NM",0805,0.00,0.00,1.00,0.00,0.00,,0.00,52.00,349.00
2025-11-12,UA,5488,DEN,GJT,"Grand Junction, CO",1335,,,,,1.00,C,0.00,,212.00
2025-11-12,UA,5494,DEN,AMA,"Amarillo, TX",1910,0.00,0.00,0.00,0.00,0.00,,0.00,53.00,359.00
2025-11-12,UA,5495,DEN,MOT,"Minot, ND",1115,18.00,1.00,1.00,0.00,0.00,,0.00,85.00,604.00
2025-11-12,UA,5497,DEN,ICT,"Wichita, KS",0948,0.00,0.00,0.00,0.00,0.00,,0.00,55.00,420.00
