name,city,state,pred_degree,type,region,locale,adm_rate,math_stat,size,cost,student_expend,earnings,debt
Flagler College,Saint Augustine,FL,Bachelors,Private,Southeast,Suburb,0.7809,0.0036,2404,41734,9022,49483,24250
Florida College,Temple Terrace,FL,Associates,Private,Southeast,Suburb,0.6645,0,589,32188,17441,43445,12000
Concorde Career Institute-Jacksonville,Jacksonville,FL,Associates,Private,Southeast,City,0.9647,0,140,NA,7715,34098,9500
Concorde Career Institute-Miramar,Miramar,FL,Associates,Private,Southeast,Suburb,0.9906,0,137,NA,8594,35442,9933
Concorde Career Institute-Tampa,Tampa,FL,Associates,Private,Southeast,City,0.9854,0,132,NA,6886,36288,9500
AdventHealth University,Orlando,FL,Bachelors,Private,Southeast,City,NA,0,1068,38194,11771,72282,24590
Florida Institute of Technology,Melbourne,FL,Bachelors,Private,Southeast,City,0.6253,0.0125,3235,60387,10775,43137,27000
Florida International University,Miami,FL,Bachelors,Public,Southeast,Suburb,0.5884,0.0034,38761,20556,8049,60249,16500
The College of the Florida Keys,Key West,FL,Associates,Public,Southeast,Town,NA,0,823,19965,10205,42508,9500
Florida Memorial University,Miami Gardens,FL,Bachelors,Private,Southeast,Suburb,0.7431,0,1299,31940,4971,36624,30063
Florida Career College-Miami,Miami,FL,Associates,Private,Southeast,Suburb,NA,0,130,NA,4429,28928,9500
Florida School of Massage,Gainesville,FL,Associates,Private,Southeast,Rural,NA,0,32,NA,2364,26752,7073
Florida Southern College,Lakeland,FL,Bachelors,Private,Southeast,City,0.5907,0.0133,2607,57174,11051,55294,25000
Florida State University,Tallahassee,FL,Bachelors,Public,Southeast,City,0.2538,0.011,31812,23683,12550,61675,18000
University of Florida,Gainesville,FL,Bachelors,Public,Southeast,City,0.2403,0.0174,34102,21719,26245,71588,15000
Fort Pierce Beauty Academy,Fort Pierce,FL,Associates,Private,Southeast,Suburb,NA,0,30,NA,4333,23091,7917
Full Sail University,Winter Park,FL,Bachelors,Private,Southeast,Suburb,NA,0,25195,39814,4491,38219,27000
George Stone Technical College,Pensacola,FL,Associates,Public,Southeast,Suburb,NA,0,566,NA,8344,35234,PS
George T Baker Aviation Technical College,Miami,FL,Associates,Public,Southeast,Suburb,NA,0,922,NA,4453,52312,PS
Gulf Coast State College,Panama City,FL,Associates,Public,Southeast,City,NA,0,3614,12208,6848,38359,7147
Key College,Fort Lauderdale,FL,Associates,Private,Southeast,City,NA,0,16,16912,5154,42267,PS
Hillsborough Community College,Tampa,FL,Associates,Public,Southeast,City,NA,0,19998,10168,4665,40782,9762
Hobe Sound Bible College,Hobe Sound,FL,Bachelors,Private,Southeast,Suburb,NA,0,125,17545,14352,39863,PS
Hollywood Institute of Beauty Careers,Hollywood,FL,Associates,Private,Southeast,Suburb,NA,0,286,NA,3368,21386,6199
Cortiva Institute,St. Petersburg,FL,Associates,Private,Southeast,City,NA,0,138,NA,4884,29204,7521
Indian River State College,Fort Pierce,FL,Associates,Public,Southeast,Suburb,NA,0,11571,11764,5350,38315,8023
International Academy,South Daytona,FL,Associates,Private,Southeast,Suburb,NA,0,191,NA,4329,19824,7917
Jacksonville University,Jacksonville,FL,Bachelors,Private,Southeast,City,0.5729,0.0032,2649,61414,10928,68010,22000
Keiser University-Ft Lauderdale,Fort Lauderdale,FL,Associates,Private,Southeast,City,0.9742,0,17370,45701,5312,39696,26125
La Belle Beauty School,Hialeah,FL,Associates,Private,Southeast,Suburb,NA,0,239,NA,1697,16879,7807
Florida Gateway College,Lake City,FL,Associates,Public,Southeast,Town,NA,0,2231,11879,6702,37894,6992
Lake Technical College,Eustis,FL,Associates,Public,Southeast,Suburb,NA,0,738,NA,12015,32793,PS
Lake-Sumter State College,Leesburg,FL,Associates,Public,Southeast,Suburb,NA,0,3572,12292,3934,39876,6750
Fort Myers Technical College,Fort Myers,FL,Associates,Public,Southeast,City,NA,0,668,NA,14525,40082,PS
Lively Technical College,Tallahassee,FL,Associates,Public,Southeast,City,NA,0,785,NA,5344,30413,PS
Lindsey Hopkins Technical College,Miami,FL,Associates,Public,Southeast,City,NA,0,388,NA,15999,34107,PS
Loraines Academy & Spa,Saint Petersburg,FL,Associates,Private,Southeast,City,NA,0,85,NA,1857,18342,6333
Luther Rice College & Seminary,Lithonia,GA,Bachelors,Private,Southeast,Suburb,0.3429,0,195,11544,5065,47003,34153
State College of Florida-Manatee-Sarasota,Bradenton,FL,Associates,Public,Southeast,Suburb,NA,0,7161,28277,6995,40318,9000
Manatee Technical College,Bradenton,FL,Associates,Public,Southeast,Suburb,NA,0,1117,NA,11426,38129,PS
Traviss Technical College,Lakeland,FL,Associates,Public,Southeast,Rural,NA,0,336,NA,7601,39813,PS
Merryfield Academy,Oakland Park,FL,Associates,Private,Southeast,Suburb,NA,0,65,NA,5579,NA,6333
Trinity International University-Florida,Miami,FL,Bachelors,Private,Southeast,Suburb,NA,0,69,22540,4898,46989,26082
Miami Lakes Educational Center and Technical College,Miami Lakes,FL,Associates,Public,Southeast,Suburb,NA,0,730,NA,6528,35014,PS
Miami Dade College,Miami,FL,Associates,Public,Southeast,City,NA,0,35001,12535,4879,40654,9252
University of Miami,Coral Gables,FL,Bachelors,Private,Southeast,Suburb,0.1851,0.0099,12570,77708,35149,75328,17500
Orange Technical College-South Campus,Orlando,FL,Associates,Public,Southeast,Suburb,NA,0,1157,NA,7094,33350,PS
Paul Mitchell the School-Jacksonville,Jacksonville,FL,Associates,Private,Southeast,City,NA,0,117,NA,6643,34949,13000
North Florida College,Madison,FL,Associates,Public,Southeast,Rural,NA,0,817,8897,6670,33929,PS
University of North Florida,Jacksonville,FL,Bachelors,Public,Southeast,City,0.6227,0.009,13915,20229,7984,56343,15531
Nova Southeastern University,Fort Lauderdale,FL,Bachelors,Private,Southeast,Suburb,0.7267,0.0013,7171,55647,18073,59209,24250
Northwest Florida State College,Niceville,FL,Associates,Public,Southeast,Suburb,NA,0,3193,12217,6447,39664,7932
Orange Technical College,Orlando,FL,Associates,Public,Southeast,City,NA,0,189,NA,10690,36650,PS
Palm Beach Atlantic University,West Palm Beach,FL,Bachelors,Private,Southeast,City,0.8832,0.0023,2427,55576,11353,49232,22500
Palm Beach State College,Lake Worth,FL,Associates,Public,Southeast,Suburb,NA,0,20532,16741,4549,41923,7081
Pasco-Hernando State College,New Port Richey,FL,Associates,Public,Southeast,Suburb,NA,0,6933,11152,3848,39903,9535
Pensacola State College,Pensacola,FL,Associates,Public,Southeast,City,NA,0,6725,9718,4866,36739,7500
Pinellas Technical College-Clearwater,Clearwater,FL,Associates,Public,Southeast,City,NA,0,730,NA,8016,34627,PS
Polk State College,Winter Haven,FL,Associates,Public,Southeast,City,NA,0,5954,12709,7848,40624,10076
Radford M Locklin Technical College,Milton,FL,Associates,Public,Southeast,Rural,NA,0,235,NA,7766,35997,PS
Saint Vincent de Paul Regional Seminary,Boynton Beach,FL,Graduate,Private,Southeast,Suburb,NA,NA,NA,NA,19845,NA,NA
Ridge Technical College,Winter Haven,FL,Associates,Public,Southeast,City,NA,0,375,27493,4627,33484,PS
Ringling College of Art and Design,Sarasota,FL,Bachelors,Private,Southeast,City,0.6737,0,1719,75726,20368,43325,27000
Robert Morgan Educational Center and Technical College,Miami,FL,Associates,Public,Southeast,Suburb,NA,0,868,NA,13644,37543,PS
Rollins College,Winter Park,FL,Bachelors,Private,Southeast,Suburb,0.4056,0.0159,2582,72790,13685,58295,25500
First Coast Technical College,Saint Augustine,FL,Associates,Public,Southeast,Suburb,NA,0,369,NA,9459,33784,PS
Saint Leo University,Saint Leo,FL,Bachelors,Private,Southeast,Town,0.721,0.0034,6999,41727,4703,48364,25278
St Petersburg College,St. Petersburg,FL,Associates,Public,Southeast,City,NA,0,18759,10634,5029,42557,16868
Pinellas Technical College-St. Petersburg,Saint Petersburg,FL,Associates,Public,Southeast,City,NA,0,1421,NA,8650,36188,PS
Santa Fe College,Gainesville,FL,Associates,Public,Southeast,Suburb,NA,0,11133,14353,5488,41631,11310
Suncoast Technical College,Sarasota,FL,Associates,Public,Southeast,Suburb,NA,0,1102,NA,8140,40621,PS
Seminole State College of Florida,Sanford,FL,Associates,Public,Southeast,City,NA,0,11790,9152,5235,41733,11047
Sheridan Technical College,Hollywood,FL,Associates,Public,Southeast,Suburb,NA,0,1245,NA,6398,33166,PS
St. John Vianney College Seminary,Miami,FL,Bachelors,Private,Southeast,Suburb,1,0,18,NA,23256,NA,PS
Saint Johns River State College,Palatka,FL,Associates,Public,Southeast,Town,NA,0,3909,12215,5352,41728,12000
South Florida State College,Avon Park,FL,Associates,Public,Southeast,Suburb,NA,0,2084,9865,9891,39990,7368
University of South Florida,Tampa,FL,Bachelors,Public,Southeast,City,0.4096,0.0075,36299,22301,11721,57743,17988
St. Thomas University,Miami Gardens,FL,Bachelors,Private,Southeast,Suburb,0.994,0,1963,49762,5119,54272,19125
Stetson University,DeLand,FL,Bachelors,Private,Southeast,City,0.8643,0.0095,2292,69807,13525,51642,23250
Southeastern University,Lakeland,FL,Bachelors,Private,Southeast,City,0.7429,0.0018,4646,43803,3584,46744,21500
Bene's Career Academy,New Port Richey,FL,Associates,Private,Southeast,Suburb,NA,0,288,NA,7817,19359,6333
Riveroak Technical College,Live Oak,FL,Associates,Public,Southeast,Town,NA,0,241,NA,7801,31778,PS
Tallahassee State College,Tallahassee,FL,Associates,Public,Southeast,City,NA,0,10357,13188,5902,37561,7668
Talmudic College of Florida,Miami Beach,FL,Bachelors,Private,Southeast,City,NA,0,26,33000,49135,NA,PS
The University of Tampa,Tampa,FL,Bachelors,Private,Southeast,City,0.4093,0.0024,10093,49841,8446,59436,24211
Big Bend Technical College,Perry,FL,Associates,Public,Southeast,Rural,NA,0,160,NA,7904,27609,PS
Tom P. Haney Technical College,Panama City,FL,Associates,Public,Southeast,Suburb,NA,0,432,NA,4715,28254,PS
Trinity Baptist College,Jacksonville,FL,Bachelors,Private,Southeast,City,0.625,0,363,25662,2464,37275,24250
Trinity College of Florida,Trinity,FL,Bachelors,Private,Southeast,Suburb,0.963,0,187,25585,5502,32465,23250
Valencia College,Orlando,FL,Associates,Public,Southeast,City,NA,0,35125,16577,4074,40594,9300
Warner University,Lake Wales,FL,Bachelors,Private,Southeast,Rural,0.4779,0,753,41556,5253,46086,22250
Florida Panhandle Technical College,Chipley,FL,Associates,Public,Southeast,Rural,NA,0,201,NA,9882,32320,PS
Webber International University,Babson Park,FL,Bachelors,Private,Southeast,Rural,0.7756,0,879,48464,3721,45606,25250
Rasmussen University-Florida,Ocala,FL,Associates,Private,Southeast,City,NA,0,3034,24746,2674,39080,20899
University of West Florida,Pensacola,FL,Bachelors,Public,Southeast,Rural,0.5687,0.0059,9042,18504,6657,49137,16624
Orange Technical College-West Campus,Ocoee,FL,Associates,Public,Southeast,Suburb,NA,0,607,NA,3638,25145,PS
William T McFatter Technical College,Davie,FL,Associates,Public,Southeast,Suburb,NA,0,617,NA,6026,41656,PS
Orange Technical College-East Campus,Winter Park,FL,Associates,Public,Southeast,Suburb,NA,0,372,NA,4482,31858,PS
Withlacoochee Technical College,Inverness,FL,Associates,Public,Southeast,Suburb,NA,0,262,NA,8501,34279,PS
Abraham Baldwin Agricultural College,Tifton,GA,Bachelors,Public,Southeast,Town,0.7716,0,3218,13103,8725,34996,16750
Agnes Scott College,Decatur,GA,Bachelors,Private,Southeast,Suburb,0.6731,0.0352,898,60585,19444,56274,26749
Interactive College of Technology-Chamblee,Chamblee,GA,Associates,Private,Southeast,Suburb,NA,0,529,20095,2630,27065,10555
Interactive College of Technology-Morrow,Morrow,GA,Associates,Private,Southeast,Suburb,NA,0,113,20314,1036,27065,10555
Albany Technical College,Albany,GA,Associates,Public,Southeast,City,NA,0,2214,13811,5043,30541,12412
Albany State University,Albany,GA,Bachelors,Public,Southeast,City,NA,8e-4,5829,20574,6726,40674,25024
Andrew College,Cuthbert,GA,Associates,Private,Southeast,Rural,0.5115,0,287,35996,9714,38475,12533
Georgia Career Institute,Conyers,GA,Associates,Private,Southeast,Suburb,NA,0,586,NA,4063,23686,7735
Atlanta Technical College,Atlanta,GA,Associates,Public,Southeast,City,NA,0,3044,9678,6070,30350,9500
Point University,West Point,GA,Bachelors,Private,Southeast,Town,0.6751,0,2617,34418,4103,38740,25250
Atlanta Metropolitan State College,Atlanta,GA,Associates,Public,Southeast,City,NA,0,1348,11528,3724,33252,14123
Atlanta's John Marshall Law School,Atlanta,GA,Graduate,Private,Southeast,City,NA,NA,NA,NA,7828,NA,PS
Atlanta School of Massage,Atlanta,GA,Associates,Private,Southeast,City,NA,0,319,NA,4460,25301,7917
Clark Atlanta University,Atlanta,GA,Bachelors,Private,Southeast,City,0.6463,0.0088,3482,40924,9647,42712,27000
Augusta Technical College,Augusta,GA,Associates,Public,Southeast,City,NA,0,3531,16410,8603,33523,4500
Berry College,Mount Berry,GA,Bachelors,Private,Southeast,Suburb,0.6185,0.013,2213,55714,15287,53800,23250
Beulah Heights University,Atlanta,GA,Bachelors,Private,Southeast,City,NA,0,158,9992,5882,35236,PS
Brenau University,Gainesville,GA,Bachelors,Private,Southeast,City,0.8696,0,981,45931,10102,54003,27000
Brewton-Parker College,Mount Vernon,GA,Bachelors,Private,Southeast,Rural,0.8635,0,684,35557,5784,42009,24990
College of Coastal Georgia,Brunswick,GA,Bachelors,Public,Southeast,City,0.9851,0.0017,2794,18975,7243,39318,15039
West Georgia Technical College,Waco,GA,Associates,Public,Southeast,Rural,NA,0,4811,10012,5861,35479,11110
Clayton  State University,Morrow,GA,Bachelors,Public,Southeast,Suburb,0.7059,0.0065,4390,17940,7842,49179,25706
Columbia Theological Seminary,Decatur,GA,Graduate,Private,Southeast,Suburb,NA,NA,NA,NA,40865,NA,PS
Columbus Technical College,Columbus,GA,Associates,Public,Southeast,City,NA,0,2668,12783,4162,34238,8756
Columbus State University,Columbus,GA,Bachelors,Public,Southeast,City,0.9924,0.0064,5537,19953,8062,44544,26000
Georgia Northwestern Technical College,Rome,GA,Associates,Public,Southeast,City,NA,0,4080,11575,4755,35759,6421
Covenant College,Lookout Mountain,GA,Bachelors,Private,Southeast,Suburb,0.8176,0.0065,858,53368,11018,50412,22500
Dalton State College,Dalton,GA,Bachelors,Public,Southeast,City,NA,0.007,4419,11292,4782,40251,12937
Pro Way Hair School,Stone Mountain,GA,Associates,Private,Southeast,Suburb,NA,0,54,NA,5684,21586,12500
South University-Savannah,Savannah,GA,Bachelors,Private,Southeast,City,NA,0,246,31163,8444,34421,26123
East Georgia State College,Swainsboro,GA,Associates,Public,Southeast,Town,NA,0.0042,1368,15472,5132,37174,11750
Emmanuel University,Franklin Springs,GA,Bachelors,Private,Southeast,Rural,0.5336,0.014,719,35188,5239,38208,24325
Emory University,Atlanta,GA,Bachelors,Private,Southeast,City,0.111,0.079,7275,78814,48968,80137,18250
Georgia Highlands College,Rome,GA,Associates,Public,Southeast,Suburb,NA,0,4441,12829,4576,43184,12000
Fort Valley State University,Fort Valley,GA,Bachelors,Public,Southeast,Town,0.628,0.0267,2541,20342,5739,36666,31000
Grady Health System Professional Schools,Atlanta,GA,Associates,Public,Southeast,City,NA,0,60,NA,8000,60726,PS
Georgia Institute of Technology-Main Campus,Atlanta,GA,Bachelors,Public,Southeast,City,0.1646,0.0215,18260,27797,12045,102772,21672
Georgia Southwestern State University,Americus,GA,Bachelors,Public,Southeast,Town,0.7716,0.0058,2291,19234,7588,48757,18851
Georgia College & State University,Milledgeville,GA,Bachelors,Public,Southeast,Town,0.8777,0.0035,5599,27781,8261,58140,22250
Georgia Southern University,Statesboro,GA,Bachelors,Public,Southeast,Town,0.8963,0.0033,21029,24563,5543,53236,23250
Georgia State University,Atlanta,GA,Bachelors,Public,Southeast,City,0.6228,0.006,27109,26535,6240,47384,20903
University of Georgia,Athens,GA,Bachelors,Public,Southeast,City,0.372,0.0101,31310,27436,10485,68726,18500
Gordon State College,Barnesville,GA,Associates,Public,Southeast,Town,0.8678,0.0021,2605,14944,4435,37871,17500
Southern Crescent Technical College,Griffin,GA,Associates,Public,Southeast,Town,NA,0,4035,13806,4560,36104,9500
Gupton Jones College of Funeral Service,Decatur,GA,Associates,Private,Southeast,Suburb,NA,0,451,25265,1821,42636,16417
Gwinnett College-Lilburn,Lilburn,GA,Associates,Private,Southeast,Suburb,NA,0,132,31673,6072,31422,18062
Gwinnett Technical College,Lawrenceville,GA,Associates,Public,Southeast,Suburb,NA,0,7395,19078,4944,45025,13000
Interdenominational Theological Center,Atlanta,GA,Graduate,Private,Southeast,City,NA,NA,NA,NA,14201,NA,PS
LaGrange College,Lagrange,GA,Bachelors,Private,Southeast,Town,0.6321,0.0154,566,47370,14642,51745,25730
Lanier Technical College,Gainesville,GA,Associates,Public,Southeast,City,NA,0,4147,13193,4672,37623,PS
Life University,Marietta,GA,Bachelors,Private,Southeast,City,0.9381,0,869,41192,6879,47397,16666
Chattahoochee Technical College,Marietta,GA,Associates,Public,Southeast,Suburb,NA,0,7555,12295,6861,37138,PS
Herzing University-Atlanta,Atlanta,GA,Associates,Private,Southeast,City,0.9412,0,499,27195,3732,36909,21500
Mercer University,Macon,GA,Bachelors,Private,Southeast,City,0.6646,0.0051,4620,56494,13760,58354,24199
Morehouse College,Atlanta,GA,Bachelors,Private,Southeast,City,0.5139,0.0126,2736,47347,12547,52889,25000
Morehouse School of Medicine,Atlanta,GA,Graduate,Private,Southeast,City,NA,NA,NA,NA,89504,NA,PS
Morris Brown College,Atlanta,GA,Bachelors,Private,Southeast,City,NA,0,338,26005,1149,NA,NA
North Georgia Technical College,Clarkesville,GA,Associates,Public,Southeast,Rural,NA,0,1966,12572,7557,32932,7823
Oglethorpe University,Atlanta,GA,Bachelors,Private,Southeast,Suburb,0.6006,0,1429,59320,6905,55232,25000
Paine College,Augusta,GA,Bachelors,Private,Southeast,City,0.8336,0,338,27310,10949,33338,PS
Piedmont University,Demorest,GA,Bachelors,Private,Southeast,Town,0.9284,0.0075,1235,45359,8722,49130,25000
Miami Ad School-Atlanta,Atlanta,GA,Associates,Private,Southeast,City,NA,0,74,29647,2381,106192,25967
Reinhardt University,Waleska,GA,Bachelors,Private,Southeast,Rural,0.5516,0,1012,45689,8933,46541,23900
Savannah Technical College,Savannah,GA,Associates,Public,Southeast,City,NA,0,2967,14545,6818,33018,3258
Savannah College of Art and Design,Savannah,GA,Bachelors,Private,Southeast,City,0.8368,0,14423,59670,8355,45954,25148
Savannah State University,Savannah,GA,Bachelors,Public,Southeast,City,NA,0.0039,2727,17185,7765,37981,28000
Shorter University,Rome,GA,Bachelors,Private,Southeast,City,0.9693,0.0039,1091,34985,4897,44604,25000
South Georgia Technical College,Americus,GA,Associates,Public,Southeast,Town,NA,0,1302,13115,7468,30364,PS
Spelman College,Atlanta,GA,Bachelors,Private,Southeast,City,0.3409,0.0133,3633,49349,15495,59993,25000
Thomas University,Thomasville,GA,Bachelors,Private,Southeast,Town,0.4316,0,813,26189,9956,49716,21198
Toccoa Falls College,Toccoa Falls,GA,Bachelors,Private,Southeast,Town,0.6381,0,820,35666,4670,36630,22250
Truett McConnell University,Cleveland,GA,Bachelors,Private,Southeast,Rural,0.9068,0,768,37692,4108,46700,23439
Wiregrass Georgia Technical College,Valdosta,GA,Associates,Public,Southeast,Rural,NA,0,2762,10925,5775,30864,PS
Valdosta State University,Valdosta,GA,Bachelors,Public,Southeast,City,0.8349,0.0031,6858,20202,6492,49361,24779
Wesleyan College,Macon,GA,Bachelors,Private,Southeast,City,0.6207,0,466,40591,11312,44317,24094
University of West Georgia,Carrollton,GA,Bachelors,Public,Southeast,Town,0.49370000000000003,0.0043,7485,23504,9498,49587,23970
Young Harris College,Young Harris,GA,Bachelors,Private,Southeast,Rural,0.6402,0.0126,810,45389,8344,47195,27000
Chaminade University of Honolulu,Honolulu,HI,Bachelors,Private,Far West,City,0.9263,0,1648,43637,11140,52343,23250
University of Hawaii at Hilo,Hilo,HI,Bachelors,Public,Far West,Town,0.8977,0.0171,2260,20914,19934,47856,20500
University of Hawaii at Manoa,Honolulu,HI,Bachelors,Public,Far West,City,0.6969,0.0055,14306,23832,23140,57624,18500
Hawaii Institute of Hair Design,Honolulu,HI,Associates,Private,Far West,City,NA,0,70,NA,5366,25235,5793
Hawaii Pacific University,Honolulu,HI,Bachelors,Private,Far West,City,0.8448,0.0113,2502,49980,6359,59593,22000
Honolulu Community College,Honolulu,HI,Associates,Public,Far West,City,NA,0,1897,12369,13275,45105,7534
Kapiolani Community College,Honolulu,HI,Associates,Public,Far West,City,NA,0,3955,11562,12764,44599,9229
Kauai Community College,Lihue,HI,Associates,Public,Far West,Rural,NA,0,726,13608,19336,36868,10500
Leeward Community College,Pearl City,HI,Associates,Public,Far West,Suburb,NA,0,3382,13842,10127,39899,8970
University of Hawaii Maui College,Kahului,HI,Associates,Public,Far West,City,NA,0,1635,16225,24470,34453,13040
University of Hawaii-West Oahu,Kapolei,HI,Bachelors,Public,Far West,Suburb,0.956,0,2510,18190,14950,52075,14500
Windward Community College,Kaneohe,HI,Associates,Public,Far West,Suburb,NA,0,1109,14492,17232,38439,9500
Carrington College-Boise,Boise,ID,Associates,Private,Rocky Mountains,City,NA,0,433,NA,8441,43731,15188
Boise Bible College,Boise,ID,Bachelors,Private,Rocky Mountains,Suburb,0.9643,0,103,22045,13407,33140,PS
Boise State University,Boise,ID,Bachelors,Public,Rocky Mountains,City,0.8396,0.0073,17081,25387,8859,51658,20500
College of Eastern Idaho,Idaho Falls,ID,Associates,Public,Rocky Mountains,City,NA,0,1396,13392,10900,42057,12000
Idaho State University,Pocatello,ID,Bachelors,Public,Rocky Mountains,City,NA,0.0051,7260,21084,15101,45608,20039
University of Idaho,Moscow,ID,Bachelors,Public,Rocky Mountains,Town,0.7909,0.0138,7363,22669,12627,54670,21982
The College of Idaho,Caldwell,ID,Bachelors,Private,Rocky Mountains,Suburb,0.4722,0.0076,1049,48451,9851,48473,24500
Lewis-Clark State College,Lewiston,ID,Bachelors,Public,Rocky Mountains,City,0.8978,0.0011,2277,18646,9649,46001,18500
Aveda Institute-Twin Falls,Twin Falls,ID,Associates,Private,Rocky Mountains,City,NA,0,93,NA,1609,26171,9400
North Idaho College,Coeur d'Alene,ID,Associates,Public,Rocky Mountains,City,NA,0.002,2488,16699,10711,40081,9000
Northwest Nazarene University,Nampa,ID,Bachelors,Private,Rocky Mountains,Suburb,0.6295,0.0043,1138,50275,7256,51719,23750
Nathan Layne Institute of Cosmetology,Chubbuck,ID,Associates,Private,Rocky Mountains,Suburb,NA,0,69,NA,1343,22209,PS
Brigham Young University-Idaho,Rexburg,ID,Bachelors,Private,Rocky Mountains,Town,0.9695,0.0068,42090,13357,4918,53406,13969
College of Southern Idaho,Twin Falls,ID,Associates,Public,Rocky Mountains,City,NA,0.0024,3476,12115,5851,40916,8000
Adler University,Chicago,IL,Graduate,Private,Great Lakes,City,NA,0,9,NA,11699,NA,PS
American Academy of Art College,Chicago,IL,Bachelors,Private,Great Lakes,City,NA,0,90,45145,8372,34324,27000
American Islamic College,Chicago,IL,Bachelors,Private,Great Lakes,City,1,0,6,NA,88973,NA,NA
School of the Art Institute of Chicago,Chicago,IL,Bachelors,Private,Great Lakes,City,0.7642,0,2762,74138,17689,40151,27000
Augustana College,Rock Island,IL,Bachelors,Private,Great Lakes,City,0.6765,0.017,2418,60798,11360,62971,27000
Aurora University,Aurora,IL,Bachelors,Private,Great Lakes,Suburb,0.8514,0.0091,4021,39232,5291,58709,20318
Southwestern Illinois College,Belleville,IL,Associates,Public,Great Lakes,Suburb,NA,0,5280,12596,8020,36884,6908
Bethany Theological Seminary,Richmond,IN,Graduate,Private,Great Lakes,Town,NA,NA,NA,NA,40271,NA,PS
Black Hawk College,Moline,IL,Associates,Public,Great Lakes,City,NA,0,2266,11809,6472,37253,8375
Blackburn College,Carlinville,IL,Bachelors,Private,Great Lakes,Town,0.8014,0.0145,341,36962,11135,46802,24242
Blessing Rieman College of Nursing and Health Sciences,Quincy,IL,Bachelors,Private,Great Lakes,Town,NA,0,176,NA,29136,72430,13000
Bradley University,Peoria,IL,Bachelors,Private,Great Lakes,City,0.7666,0.0029,3865,52730,15616,66852,27000
Paul Mitchell the School-Tinley Park,Tinley Park,IL,Associates,Private,Great Lakes,Suburb,NA,0,253,NA,9029,28378,7917
Cameo Beauty Academy,Oak Lawn,IL,Associates,Private,Great Lakes,Suburb,NA,0,87,NA,2357,24513,10929
Cannella School of Hair Design-Villa Park,Villa Park,IL,Associates,Private,Great Lakes,Suburb,NA,0,43,NA,8641,26970,PS
Cannella School of Hair Design-Chicago,Chicago,IL,Associates,Private,Great Lakes,City,NA,0,8,NA,4669,18132,PS
Cannella School of Hair Design-Chicago,Chicago,IL,Associates,Private,Great Lakes,City,NA,0,60,NA,5097,29075,PS
Capri Beauty College,Oak Forest,IL,Associates,Private,Great Lakes,Suburb,NA,0,32,NA,13061,26804,9833
Carl Sandburg College,Galesburg,IL,Associates,Public,Great Lakes,Town,NA,0,1124,10795,6277,35274,4909
Catholic Theological Union at Chicago,Chicago,IL,Graduate,Private,Great Lakes,City,NA,NA,NA,NA,36574,NA,PS
Midwestern University-Downers Grove,Downers Grove,IL,Graduate,Private,Great Lakes,City,NA,NA,NA,NA,26067,NA,PS
The Chicago School at Chicago,Chicago,IL,Bachelors,Private,Great Lakes,City,0.3333,0,31,NA,8510,56899,20000
Chicago State University,Chicago,IL,Bachelors,Public,Great Lakes,City,0.4052,0.0038,1414,30454,27305,42778,30625
Chicago Theological Seminary,Chicago,IL,Graduate,Private,Great Lakes,City,NA,NA,NA,NA,29033,NA,PS
University of Chicago,Chicago,IL,Bachelors,Private,Great Lakes,City,0.0479,0.0924,7540,86856,87390,91885,15000
City Colleges of Chicago-Kennedy-King College,Chicago,IL,Associates,Public,Great Lakes,City,NA,0,1564,11382,10844,28467,6180
City Colleges of Chicago-Malcolm X College,Chicago,IL,Associates,Public,Great Lakes,City,NA,0,5847,10279,6443,32427,8375
City Colleges of Chicago-Olive-Harvey College,Chicago,IL,Associates,Public,Great Lakes,City,NA,0,1425,12633,9519,31114,7646
City Colleges of Chicago-Harry S Truman College,Chicago,IL,Associates,Public,Great Lakes,City,NA,0,2248,10722,5348,36484,6997
City Colleges of Chicago-Richard J Daley College,Chicago,IL,Associates,Public,Great Lakes,City,NA,0,2540,9543,4334,37962,4500
City Colleges of Chicago-Harold Washington College,Chicago,IL,Associates,Public,Great Lakes,City,NA,0,4146,9996,7868,36531,5750
City Colleges of Chicago-Wilbur Wright College,Chicago,IL,Associates,Public,Great Lakes,City,NA,0,4186,9395,4586,41625,6500
Columbia College Chicago,Chicago,IL,Bachelors,Private,Great Lakes,City,0.9117,0,6294,49799,10612,42195,25000
Concordia University-Chicago,River Forest,IL,Bachelors,Private,Great Lakes,Suburb,0.9336,0.003,1337,44252,6250,54089,23000
Danville Area Community College,Danville,IL,Associates,Public,Great Lakes,Town,NA,0,1360,10398,8710,34867,7218
Tricoci University of Beauty Culture,Urbana,IL,Associates,Private,Great Lakes,City,NA,0,171,NA,3050,18077,9000
DePaul University,Chicago,IL,Bachelors,Private,Great Lakes,City,0.7353,0.0059,14283,59467,13968,68751,23168
Cosmetology & Spa Academy,Crystal Lake,IL,Associates,Private,Great Lakes,Suburb,NA,0,377,NA,2114,29779,7917
College of DuPage,Glen Ellyn,IL,Associates,Public,Great Lakes,Suburb,NA,0,15185,13314,9363,46909,10410
East-West University,Chicago,IL,Bachelors,Private,Great Lakes,City,NA,0,528,30062,6672,29963,26986
Eastern Illinois University,Charleston,IL,Bachelors,Public,Great Lakes,Town,0.6775,0.0063,4398,26164,10176,51989,21500
Elgin Community College,Elgin,IL,Associates,Public,Great Lakes,City,NA,0,6463,9837,8742,45516,7390
