"country_code","country","year","age_group","online_shopping"
"DK","Denmark",2023,"Y65_74",75.5
"DK","Denmark",2024,"Y16_24",94.37
"DK","Denmark",2024,"Y25_64",92.67
"DK","Denmark",2024,"Y65_74",78.45
"DK","Denmark",2025,"Y16_24",92.28
"DK","Denmark",2025,"Y25_64",92.76
"DK","Denmark",2025,"Y65_74",82.29
"EE","Estonia",2020,"Y16_24",86.8
"EE","Estonia",2020,"Y25_64",74.54
"EE","Estonia",2020,"Y65_74",22.04
"EE","Estonia",2021,"Y16_24",87.01
"EE","Estonia",2021,"Y25_64",76.25
"EE","Estonia",2021,"Y65_74",27.91
"EE","Estonia",2022,"Y16_24",86.94
"EE","Estonia",2022,"Y25_64",76.57
"EE","Estonia",2022,"Y65_74",30.31
"EE","Estonia",2023,"Y16_24",87.45
"EE","Estonia",2023,"Y25_64",78.75
"EE","Estonia",2023,"Y65_74",33.94
"EE","Estonia",2024,"Y16_24",86.46
"EE","Estonia",2024,"Y25_64",79.27
"EE","Estonia",2024,"Y65_74",31.77
"EE","Estonia",2025,"Y16_24",87.84
"EE","Estonia",2025,"Y25_64",82.93
"EE","Estonia",2025,"Y65_74",36.37
"EL","Greece",2020,"Y16_24",66.69
"EL","Greece",2020,"Y25_64",50.81
"EL","Greece",2020,"Y65_74",8.98
"EL","Greece",2021,"Y16_24",80.52
"EL","Greece",2021,"Y25_64",59.34
"EL","Greece",2021,"Y65_74",11.94
"EL","Greece",2022,"Y16_24",80.57
"EL","Greece",2022,"Y25_64",62.59
"EL","Greece",2022,"Y65_74",12.14
"EL","Greece",2023,"Y16_24",78.41
"EL","Greece",2023,"Y25_64",62.29
"EL","Greece",2023,"Y65_74",18.76
"EL","Greece",2024,"Y16_24",84.2
"EL","Greece",2024,"Y25_64",69.79
"EL","Greece",2024,"Y65_74",27.6
"EL","Greece",2025,"Y16_24",91.3
"EL","Greece",2025,"Y25_64",73.98
"EL","Greece",2025,"Y65_74",23.12
"ES","Spain",2020,"Y16_24",74.37
"ES","Spain",2020,"Y25_64",67.35
"ES","Spain",2020,"Y65_74",24.89
"ES","Spain",2021,"Y16_24",78.3
"ES","Spain",2021,"Y25_64",71.26
"ES","Spain",2021,"Y65_74",30.07
"ES","Spain",2022,"Y16_24",78.99
"ES","Spain",2022,"Y25_64",72.89
"ES","Spain",2022,"Y65_74",30.42
"ES","Spain",2023,"Y16_24",80.21
"ES","Spain",2023,"Y25_64",73.57
"ES","Spain",2023,"Y65_74",32.98
"ES","Spain",2024,"Y16_24",78.56
"ES","Spain",2024,"Y25_64",73.89
"ES","Spain",2024,"Y65_74",33.22
"ES","Spain",2025,"Y16_24",80.81
"ES","Spain",2025,"Y25_64",75.57
"ES","Spain",2025,"Y65_74",36.12
"FI","Finland",2020,"Y16_24",85.85
