flight_date,marketing_airline,flight_number,origin,destination,destination_city,scheduled_departure,departure_delay_min,departure_delayed_15,arrival_delay_min,arrival_delayed_15,cancelled,cancellation_code,diverted,air_time_min,distance_miles
2025-08-01,AS,165,DEN,ANC,"Anchorage, AK",0920,1.00,0.00,0.00,0.00,0.00,,0.00,282.00,2405.00
2025-08-01,AS,535,DEN,SEA,"Seattle, WA",1503,44.00,1.00,48.00,1.00,0.00,,0.00,147.00,1024.00
2025-08-01,AS,615,DEN,SEA,"Seattle, WA",2032,70.00,1.00,48.00,1.00,0.00,,0.00,139.00,1024.00
2025-08-01,AS,643,DEN,SEA,"Seattle, WA",0600,0.00,0.00,0.00,0.00,0.00,,0.00,138.00,1024.00
2025-08-01,AS,682,DEN,SEA,"Seattle, WA",1249,0.00,0.00,0.00,0.00,0.00,,0.00,148.00,1024.00
2025-08-01,AS,745,DEN,SEA,"Seattle, WA",0800,0.00,0.00,0.00,0.00,0.00,,0.00,137.00,1024.00
2025-08-01,AS,1131,DEN,PDX,"Portland, OR",1911,74.00,1.00,62.00,1.00,0.00,,0.00,131.00,991.00
2025-08-01,AS,1136,DEN,PDX,"Portland, OR",1133,11.00,0.00,0.00,0.00,0.00,,0.00,128.00,991.00
2025-08-02,AS,165,DEN,ANC,"Anchorage, AK",0920,0.00,0.00,0.00,0.00,0.00,,0.00,286.00,2405.00
2025-08-02,AS,535,DEN,SEA,"Seattle, WA",1503,59.00,1.00,72.00,1.00,0.00,,0.00,144.00,1024.00
2025-08-02,AS,620,DEN,SEA,"Seattle, WA",1750,23.00,1.00,19.00,1.00,0.00,,0.00,142.00,1024.00
2025-08-02,AS,643,DEN,SEA,"Seattle, WA",0600,0.00,0.00,0.00,0.00,0.00,,0.00,143.00,1024.00
2025-08-02,AS,682,DEN,SEA,"Seattle, WA",1249,0.00,0.00,0.00,0.00,0.00,,0.00,152.00,1024.00
2025-08-02,AS,745,DEN,SEA,"Seattle, WA",0800,0.00,0.00,0.00,0.00,0.00,,0.00,145.00,1024.00
2025-08-02,AS,1131,DEN,PDX,"Portland, OR",1859,46.00,1.00,41.00,1.00,0.00,,0.00,135.00,991.00
2025-08-02,AS,1320,DEN,ANC,"Anchorage, AK",2024,48.00,1.00,60.00,1.00,0.00,,0.00,288.00,2405.00
2025-08-03,AS,165,DEN,ANC,"Anchorage, AK",0920,0.00,0.00,0.00,0.00,0.00,,0.00,298.00,2405.00
2025-08-03,AS,535,DEN,SEA,"Seattle, WA",1503,13.00,0.00,22.00,1.00,0.00,,0.00,149.00,1024.00
2025-08-03,AS,615,DEN,SEA,"Seattle, WA",2032,27.00,1.00,16.00,1.00,0.00,,0.00,147.00,1024.00
2025-08-03,AS,620,DEN,SEA,"Seattle, WA",1750,127.00,1.00,132.00,1.00,0.00,,0.00,150.00,1024.00
2025-08-03,AS,643,DEN,SEA,"Seattle, WA",0600,3.00,0.00,3.00,0.00,0.00,,0.00,150.00,1024.00
2025-08-03,AS,682,DEN,SEA,"Seattle, WA",1249,7.00,0.00,27.00,1.00,0.00,,0.00,146.00,1024.00
2025-08-03,AS,745,DEN,SEA,"Seattle, WA",0800,0.00,0.00,9.00,0.00,0.00,,0.00,153.00,1024.00
2025-08-03,AS,1131,DEN,PDX,"Portland, OR",1906,25.00,1.00,39.00,1.00,0.00,,0.00,138.00,991.00
2025-08-03,AS,1136,DEN,PDX,"Portland, OR",1133,0.00,0.00,0.00,0.00,0.00,,0.00,138.00,991.00
2025-08-04,AS,165,DEN,ANC,"Anchorage, AK",0920,0.00,0.00,0.00,0.00,0.00,,0.00,297.00,2405.00
2025-08-04,AS,535,DEN,SEA,"Seattle, WA",1503,0.00,0.00,13.00,0.00,0.00,,0.00,150.00,1024.00
2025-08-04,AS,615,DEN,SEA,"Seattle, WA",2032,0.00,0.00,0.00,0.00,0.00,,0.00,149.00,1024.00
2025-08-04,AS,620,DEN,SEA,"Seattle, WA",1750,8.00,0.00,10.00,0.00,0.00,,0.00,142.00,1024.00
2025-08-04,AS,643,DEN,SEA,"Seattle, WA",0600,0.00,0.00,0.00,0.00,0.00,,0.00,150.00,1024.00
2025-08-04,AS,682,DEN,SEA,"Seattle, WA",1249,0.00,0.00,8.00,0.00,0.00,,0.00,147.00,1024.00
2025-08-04,AS,745,DEN,SEA,"Seattle, WA",0800,0.00,0.00,10.00,0.00,0.00,,0.00,151.00,1024.00
2025-08-04,AS,1131,DEN,PDX,"Portland, OR",1906,10.00,0.00,6.00,0.00,0.00,,0.00,138.00,991.00
2025-08-04,AS,1136,DEN,PDX,"Portland, OR",1133,0.00,0.00,0.00,0.00,0.00,,0.00,140.00,991.00
2025-08-05,AS,165,DEN,ANC,"Anchorage, AK",0920,31.00,1.00,20.00,1.00,0.00,,0.00,303.00,2405.00
2025-08-05,AS,535,DEN,SEA,"Seattle, WA",1503,21.00,1.00,10.00,0.00,0.00,,0.00,143.00,1024.00
2025-08-05,AS,615,DEN,SEA,"Seattle, WA",2032,2.00,0.00,15.00,1.00,0.00,,0.00,152.00,1024.00
2025-08-05,AS,620,DEN,SEA,"Seattle, WA",1750,0.00,0.00,0.00,0.00,0.00,,0.00,145.00,1024.00
2025-08-05,AS,643,DEN,SEA,"Seattle, WA",0600,0.00,0.00,0.00,0.00,0.00,,0.00,146.00,1024.00
2025-08-05,AS,682,DEN,SEA,"Seattle, WA",1249,,,,,1.00,B,0.00,,1024.00
2025-08-05,AS,745,DEN,SEA,"Seattle, WA",0800,41.00,1.00,46.00,1.00,0.00,,0.00,156.00,1024.00
2025-08-05,AS,1131,DEN,PDX,"Portland, OR",1906,0.00,0.00,0.00,0.00,0.00,,0.00,135.00,991.00
2025-08-05,AS,1136,DEN,PDX,"Portland, OR",1133,1.00,0.00,0.00,0.00,0.00,,0.00,136.00,991.00
2025-08-06,AS,165,DEN,ANC,"Anchorage, AK",0920,100.00,1.00,107.00,1.00,0.00,,0.00,310.00,2405.00
2025-08-06,AS,535,DEN,SEA,"Seattle, WA",1503,19.00,1.00,14.00,0.00,0.00,,0.00,145.00,1024.00
2025-08-06,AS,615,DEN,SEA,"Seattle, WA",2032,28.00,1.00,32.00,1.00,0.00,,0.00,143.00,1024.00
2025-08-06,AS,620,DEN,SEA,"Seattle, WA",1750,29.00,1.00,21.00,1.00,0.00,,0.00,140.00,1024.00
2025-08-06,AS,643,DEN,SEA,"Seattle, WA",0600,0.00,0.00,0.00,0.00,0.00,,0.00,143.00,1024.00
2025-08-06,AS,682,DEN,SEA,"Seattle, WA",1249,39.00,1.00,25.00,1.00,0.00,,0.00,143.00,1024.00
2025-08-06,AS,745,DEN,SEA,"Seattle, WA",0800,103.00,1.00,118.00,1.00,0.00,,0.00,146.00,1024.00
2025-08-06,AS,1131,DEN,PDX,"Portland, OR",1906,9.00,0.00,3.00,0.00,0.00,,0.00,136.00,991.00
2025-08-06,AS,1136,DEN,PDX,"Portland, OR",1133,37.00,1.00,40.00,1.00,0.00,,0.00,141.00,991.00
2025-08-07,AS,165,DEN,ANC,"Anchorage, AK",0920,11.00,0.00,4.00,0.00,0.00,,0.00,306.00,2405.00
2025-08-07,AS,535,DEN,SEA,"Seattle, WA",1503,10.00,0.00,18.00,1.00,0.00,,0.00,159.00,1024.00
2025-08-07,AS,615,DEN,SEA,"Seattle, WA",2032,0.00,0.00,0.00,0.00,0.00,,0.00,156.00,1024.00
2025-08-07,AS,620,DEN,SEA,"Seattle, WA",1750,3.00,0.00,1.00,0.00,0.00,,0.00,152.00,1024.00
2025-08-07,AS,643,DEN,SEA,"Seattle, WA",0600,0.00,0.00,0.00,0.00,0.00,,0.00,148.00,1024.00
2025-08-07,AS,682,DEN,SEA,"Seattle, WA",1249,71.00,1.00,90.00,1.00,0.00,,0.00,157.00,1024.00
2025-08-07,AS,745,DEN,SEA,"Seattle, WA",0800,0.00,0.00,13.00,0.00,0.00,,0.00,155.00,1024.00
2025-08-07,AS,1131,DEN,PDX,"Portland, OR",1906,259.00,1.00,258.00,1.00,0.00,,0.00,142.00,991.00
2025-08-07,AS,1136,DEN,PDX,"Portland, OR",1133,1.00,0.00,9.00,0.00,0.00,,0.00,139.00,991.00
2025-08-08,AS,165,DEN,ANC,"Anchorage, AK",0920,0.00,0.00,0.00,0.00,0.00,,0.00,305.00,2405.00
2025-08-08,AS,535,DEN,SEA,"Seattle, WA",1503,19.00,1.00,23.00,1.00,0.00,,0.00,155.00,1024.00
2025-08-08,AS,615,DEN,SEA,"Seattle, WA",2032,29.00,1.00,16.00,1.00,0.00,,0.00,143.00,1024.00
